tanggal,nama_kecamatan,positif
2020-09-12,CIPAYUNG,570
2020-09-13,CIPAYUNG,598
2020-09-14,CIPAYUNG,612
2020-09-15,CIPAYUNG,631
2020-09-16,CIPAYUNG,639
2020-09-17,CIPAYUNG,674
2020-09-18,CIPAYUNG,678
2020-09-19,CIPAYUNG,711
2020-09-20,CIPAYUNG,733
2020-09-21,CIPAYUNG,746
2020-09-22,CIPAYUNG,751
2020-09-23,CIPAYUNG,810
2020-09-24,CIPAYUNG,811
2020-09-25,CIPAYUNG,838
2020-09-26,CIPAYUNG,852
2020-09-27,CIPAYUNG,883
2020-09-28,CIPAYUNG,909
2020-09-29,CIPAYUNG,929
2020-09-30,CIPAYUNG,959
2020-10-01,CIPAYUNG,1007
2020-10-02,CIPAYUNG,1026
2020-10-03,CIPAYUNG,1083
2020-10-04,CIPAYUNG,1101
2020-10-05,CIPAYUNG,1106
2020-10-06,CIPAYUNG,1131
2020-10-07,CIPAYUNG,1159
2020-10-08,CIPAYUNG,1169
2020-10-09,CIPAYUNG,1198
2020-10-10,CIPAYUNG,1204
2020-10-11,CIPAYUNG,1235
2020-10-12,CIPAYUNG,1246
2020-10-13,CIPAYUNG,1270
2020-10-14,CIPAYUNG,1299
2020-10-15,CIPAYUNG,1316
2020-10-16,CIPAYUNG,1331
2020-10-17,CIPAYUNG,1361
2020-10-18,CIPAYUNG,1369
2020-10-19,CIPAYUNG,1384
2020-10-20,CIPAYUNG,1408
2020-10-21,CIPAYUNG,1424
2020-10-22,CIPAYUNG,1434
2020-10-23,CIPAYUNG,1443
2020-10-24,CIPAYUNG,1459
2020-10-25,CIPAYUNG,1487
2020-10-26,CIPAYUNG,1504
2020-10-27,CIPAYUNG,1508
2020-10-28,CIPAYUNG,1531
2020-10-29,CIPAYUNG,1545
2020-10-30,CIPAYUNG,1562
2020-10-31,CIPAYUNG,1571
2020-11-01,CIPAYUNG,1578
2020-11-02,CIPAYUNG,1617
2020-11-03,CIPAYUNG,1626
2020-11-04,CIPAYUNG,1651
2020-11-05,CIPAYUNG,1660
2020-11-06,CIPAYUNG,1685
2020-11-07,CIPAYUNG,1710
2020-11-08,CIPAYUNG,1723
2020-11-09,CIPAYUNG,1742
2020-11-10,CIPAYUNG,1759
2020-11-11,CIPAYUNG,1763
2020-11-12,CIPAYUNG,1773
2020-11-13,CIPAYUNG,1799
2020-11-14,CIPAYUNG,1819
2020-11-15,CIPAYUNG,1843
2020-11-16,CIPAYUNG,1854
2020-11-17,CIPAYUNG,1881
2020-11-18,CIPAYUNG,1896
2020-11-19,CIPAYUNG,1914
2020-11-20,CIPAYUNG,1943
2020-11-21,CIPAYUNG,1962
2020-11-22,CIPAYUNG,1991
2020-11-23,CIPAYUNG,2014
2020-11-24,CIPAYUNG,2051
2020-11-25,CIPAYUNG,2088
2020-11-26,CIPAYUNG,2108
2020-11-27,CIPAYUNG,2126
2020-11-28,CIPAYUNG,2162
2020-11-29,CIPAYUNG,2189
2020-11-30,CIPAYUNG,2214
2020-03-25,CIRACAS,3
2020-03-26,CIRACAS,3
2020-03-27,CIRACAS,3
2020-03-28,CIRACAS,3
2020-03-29,CIRACAS,3
2020-03-30,CIRACAS,3
2020-03-31,CIRACAS,3
2020-04-01,CIRACAS,3
2020-04-02,CIRACAS,3
2020-04-03,CIRACAS,5
2020-04-04,CIRACAS,7
2020-04-05,CIRACAS,10
2020-04-06,CIRACAS,10
2020-04-07,CIRACAS,10
2020-04-08,CIRACAS,10
2020-04-09,CIRACAS,12
2020-04-10,CIRACAS,13
2020-04-11,CIRACAS,13
2020-04-12,CIRACAS,13
2020-04-13,CIRACAS,14
2020-04-14,CIRACAS,16
2020-04-15,CIRACAS,16
2020-04-16,CIRACAS,21
2020-04-17,CIRACAS,23
2020-04-18,CIRACAS,23
2020-04-19,CIRACAS,23
2020-04-20,CIRACAS,24
2020-04-21,CIRACAS,27
2020-04-22,CIRACAS,28
2020-04-23,CIRACAS,27
2020-04-24,CIRACAS,28
2020-04-25,CIRACAS,30
2020-04-26,CIRACAS,34
2020-04-27,CIRACAS,35
2020-04-28,CIRACAS,36
2020-04-29,CIRACAS,38
2020-04-30,CIRACAS,39
2020-05-01,CIRACAS,42
2020-05-02,CIRACAS,45
2020-05-03,CIRACAS,46
2020-05-04,CIRACAS,45
2020-05-05,CIRACAS,43
2020-05-06,CIRACAS,42
2020-05-07,CIRACAS,42
2020-05-08,CIRACAS,42
2020-05-09,CIRACAS,42
2020-05-10,CIRACAS,45
2020-05-11,CIRACAS,45
2020-05-12,CIRACAS,45
2020-05-13,CIRACAS,45
2020-05-14,CIRACAS,46
2020-05-15,CIRACAS,46
2020-05-16,CIRACAS,48
2020-05-17,CIRACAS,49
2020-05-18,CIRACAS,48
2020-05-19,CIRACAS,52
2020-05-20,CIRACAS,54
2020-05-21,CIRACAS,55
2020-05-22,CIRACAS,55
2020-05-23,CIRACAS,57
2020-05-24,CIRACAS,58
2020-05-25,CIRACAS,59
2020-05-26,CIRACAS,60
2020-05-27,CIRACAS,60
2020-05-28,CIRACAS,61
2020-05-29,CIRACAS,61
2020-05-30,CIRACAS,62
2020-05-31,CIRACAS,63
2020-06-01,CIRACAS,63
2020-06-02,CIRACAS,62
2020-06-03,CIRACAS,64
2020-06-04,CIRACAS,65
2020-06-05,CIRACAS,65
2020-06-06,CIRACAS,65
2020-06-07,CIRACAS,66
2020-06-08,CIRACAS,63
2020-06-09,CIRACAS,63
2020-06-10,CIRACAS,64
2020-06-11,CIRACAS,66
2020-06-12,CIRACAS,73
2020-06-13,CIRACAS,77
2020-06-14,CIRACAS,79
2020-06-15,CIRACAS,80
2020-06-16,CIRACAS,84
2020-06-17,CIRACAS,85
2020-06-18,CIRACAS,86
2020-06-19,CIRACAS,86
2020-06-20,CIRACAS,88
2020-06-21,CIRACAS,88
2020-06-22,CIRACAS,87
2020-06-23,CIRACAS,87
2020-06-24,CIRACAS,106
2020-06-25,CIRACAS,106
2020-06-26,CIRACAS,112
2020-06-27,CIRACAS,119
2020-06-28,CIRACAS,121
2020-06-29,CIRACAS,121
2020-06-30,CIRACAS,124
2020-07-01,CIRACAS,127
2020-07-02,CIRACAS,127
2020-07-03,CIRACAS,131
2020-07-04,CIRACAS,134
2020-07-05,CIRACAS,135
2020-07-06,CIRACAS,136
2020-07-07,CIRACAS,140
2020-07-08,CIRACAS,143
2020-07-09,CIRACAS,143
2020-07-10,CIRACAS,148
2020-07-11,CIRACAS,149
2020-07-12,CIRACAS,152
2020-07-13,CIRACAS,154
2020-07-14,CIRACAS,164
2020-07-15,CIRACAS,169
2020-07-16,CIRACAS,170
2020-07-17,CIRACAS,172
2020-07-18,CIRACAS,174
2020-07-19,CIRACAS,177
2020-07-20,CIRACAS,179
2020-07-21,CIRACAS,179
2020-07-22,CIRACAS,181
2020-07-23,CIRACAS,182
2020-07-24,CIRACAS,195
2020-07-25,CIRACAS,198
2020-07-26,CIRACAS,198
2020-07-27,CIRACAS,214
2020-07-28,CIRACAS,215
2020-07-29,CIRACAS,218
2020-07-30,CIRACAS,221
2020-07-31,CIRACAS,218
2020-08-01,CIRACAS,216
2020-08-02,CIRACAS,215
2020-08-03,CIRACAS,214
2020-08-04,CIRACAS,214
2020-08-05,CIRACAS,214
2020-08-06,CIRACAS,215
2020-08-07,CIRACAS,216
2020-08-08,CIRACAS,217
2020-08-09,CIRACAS,219
2020-08-10,CIRACAS,222
2020-08-11,CIRACAS,224
2020-08-12,CIRACAS,227
2020-08-13,CIRACAS,231
2020-08-14,CIRACAS,235
2020-08-15,CIRACAS,239
2020-08-16,CIRACAS,244
2020-08-17,CIRACAS,249
2020-08-18,CIRACAS,255
2020-08-19,CIRACAS,261
2020-08-20,CIRACAS,267
2020-08-21,CIRACAS,274
2020-08-22,CIRACAS,281
2020-08-23,CIRACAS,289
2020-08-24,CIRACAS,297
2020-08-25,CIRACAS,305
2020-08-26,CIRACAS,314
2020-08-27,CIRACAS,324
2020-08-28,CIRACAS,333
2020-08-29,CIRACAS,344
2020-08-30,CIRACAS,354
2020-08-31,CIRACAS,365
2020-09-01,CIRACAS,377
2020-09-02,CIRACAS,412
2020-09-03,CIRACAS,419
2020-09-04,CIRACAS,432
2020-09-05,CIRACAS,470
2020-09-06,CIRACAS,471
2020-09-07,CIRACAS,486
2020-09-08,CIRACAS,460
2020-09-09,CIRACAS,491
2020-09-10,CIRACAS,525
2020-09-11,CIRACAS,555
2020-09-12,CIRACAS,585
2020-09-13,CIRACAS,632
2020-09-14,CIRACAS,622
2020-09-15,CIRACAS,630
2020-09-16,CIRACAS,636
2020-09-17,CIRACAS,654
2020-09-18,CIRACAS,667
2020-09-19,CIRACAS,696
2020-09-20,CIRACAS,723
2020-09-21,CIRACAS,731
