id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3174021005,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,MENTENG ATAS,480,1,477,2,27,3,22,2,27,4,10,2,11,
3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,149,1,148,0,35,2,33,0,13,1,6,0,6,
3171081004,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,249,2,245,2,29,1,27,1,64,1,24,6,33,
3175091002,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIBUBUR,456,3,452,1,47,1,43,3,23,3,12,2,6,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,292,0,292,0,29,0,27,2,7,1,1,2,3,
3175021001,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PULO GADUNG,274,1,273,0,31,0,29,2,20,3,10,3,4,
3171031008,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,149,1,148,0,28,3,23,2,14,3,7,0,4,
3174031004,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,291,1,290,0,28,0,26,2,20,2,15,1,2,
3175101006,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,161,2,158,1,32,0,32,0,15,1,9,0,5,
3175041005,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,101,2,99,0,17,2,15,0,18,1,10,1,6,
3174071008,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PETOGOGAN,54,1,53,0,13,2,11,0,6,1,3,0,2,
3172041006,DKI JAKARTA,JAKARTA UTARA,CILINCING,ROROTAN,122,0,122,0,22,2,18,2,9,4,3,1,1,
3173021001,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,432,2,430,0,19,2,15,2,32,1,26,0,5,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,130,1,129,0,21,0,18,3,11,0,7,1,3,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,185,2,183,0,29,6,23,0,76,5,23,3,45,
