id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,otg,pdp,masih_dirawat,pulang_dan_sehat,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,47,2,9,36,9,2,7,13,2,5,2,4,
3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,172,1,32,139,23,5,18,27,5,9,6,7,
3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,81,1,40,40,48,1,47,17,4,11,2,0,
3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,113,5,48,60,31,3,28,10,3,4,1,2,
3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,208,2,72,134,59,1,58,13,1,7,2,3,
3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,76,0,26,50,23,5,18,25,8,10,3,4,
3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,55,0,10,45,2,1,1,30,7,8,5,10,
3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,18,1,14,3,5,0,5,3,0,1,2,0,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,36,3,12,21,16,3,13,23,3,9,0,11,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,57,1,31,25,20,1,19,24,6,5,1,12,
3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,51,2,13,36,15,2,13,12,5,4,0,3,
3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,52,2,19,31,21,1,20,19,3,12,0,4,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,75,2,58,15,19,1,18,28,9,9,0,10,
3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,144,0,23,121,16,1,15,14,4,8,2,0,
3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,95,2,45,48,22,1,21,11,2,5,2,2,
3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,61,0,12,49,15,1,14,14,4,4,2,4,
3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,38,0,13,25,30,3,27,20,11,6,1,2,
3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,7,0,6,1,1,0,1,5,0,4,1,0,
3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,28,0,14,14,6,0,6,17,3,9,3,2,
3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,95,1,34,60,20,1,19,30,7,12,2,9,
