id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,91,3,1,4,83,1,0,1,0,11,0,11,328,28,300,3,0,3,46,2,33,5,6,
3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,137,4,1,4,128,0,0,0,0,23,0,23,334,15,319,12,0,12,94,4,60,2,28,
3174021007,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,GUNTUR,17,1,1,0,15,0,0,0,0,0,0,0,50,7,43,1,0,1,6,1,5,0,0,
3174071002,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GUNUNG,42,0,0,3,39,0,0,0,0,7,0,7,163,38,125,0,0,0,13,1,10,1,1,
3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,118,6,2,1,109,0,0,0,0,2,0,2,159,12,147,1,0,1,18,0,13,2,3,
3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,95,5,1,1,88,0,0,0,0,2,1,1,137,12,125,4,0,4,31,1,20,4,6,
3175081004,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,HALIM PERDANA KUSUMAH,54,5,2,2,45,0,0,0,0,2,0,2,105,29,76,7,0,7,43,3,30,3,7,
3171031003,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,137,8,13,3,113,0,0,0,0,5,2,3,168,26,142,25,0,25,69,4,38,5,22,
3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,270,4,6,2,258,1,0,0,1,5,0,5,263,25,238,9,0,9,59,4,40,2,13,
3175021007,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATI,85,10,2,1,72,0,0,0,0,4,0,4,239,22,217,21,0,21,57,0,35,0,22,
3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,126,5,1,2,118,0,0,0,0,2,0,2,261,113,148,12,0,12,32,3,23,3,3,
3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,177,10,4,4,159,0,0,0,0,2,0,2,316,26,290,58,0,58,83,1,69,2,11,
3175061001,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,JATINEGARA,130,5,1,3,121,0,0,0,0,2,0,2,327,50,277,30,0,30,51,1,34,3,13,
3175021004,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,JATINEGARA KAUM,18,0,1,0,17,0,0,0,0,3,0,3,93,13,80,4,0,4,9,2,5,0,2,
3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,97,5,3,5,84,0,0,0,0,22,4,18,378,72,306,6,0,6,47,1,31,4,11,
3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,141,1,1,2,137,0,0,0,0,4,0,4,364,106,258,16,0,16,28,1,20,2,5,
3173041006,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN BESI,261,12,30,1,218,0,0,0,0,3,3,0,297,94,203,7,0,7,100,1,82,5,12,
3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,61,1,0,0,60,0,0,0,0,0,0,0,90,4,86,1,0,1,13,2,8,0,3,
3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,89,0,1,4,84,0,0,0,0,4,1,3,174,11,163,12,0,12,37,0,35,1,1,
3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,205,4,4,3,194,0,0,0,0,3,0,3,652,48,604,90,0,90,114,6,58,5,45,
3173041002,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KALI ANYAR,110,7,2,0,101,0,0,0,0,3,0,3,179,20,159,8,0,8,36,2,18,2,14,
3172041004,DKI JAKARTA,JAKARTA UTARA,CILINCING,KALI BARU,101,9,2,5,85,0,0,0,0,1,0,1,192,56,136,28,0,28,50,10,33,4,3,
3174081002,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,180,11,3,3,163,0,0,0,0,8,2,6,242,13,229,9,0,9,59,4,38,1,16,
3173061001,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KALIDERES,378,5,38,4,331,0,0,0,0,5,0,5,1176,132,1044,25,0,25,69,5,54,4,6,
3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,174,14,4,0,156,0,0,0,0,1,0,1,120,20,100,7,0,7,42,0,29,2,11,
3173061004,DKI JAKARTA,JAKARTA BARAT,KALI DERES,KAMAL,138,0,9,3,126,0,0,0,0,0,0,0,282,30,252,1,0,1,9,1,3,2,3,
