id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,meninggal,selesai_isolasi,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,193,8,22,1,162,0,0,0,10,3,7,409,95,314,47,0,47,140,7,59,1,73,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,208,4,3,5,196,0,0,0,9,0,9,719,35,684,49,0,49,93,4,75,9,5,
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,284,6,14,1,263,0,0,0,0,0,0,275,7,268,3,0,3,120,2,98,9,11,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,62,5,1,1,55,0,0,0,1,0,1,74,4,70,0,0,0,10,0,8,1,1,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,153,7,12,5,129,0,0,0,7,0,7,189,37,152,24,0,24,61,0,44,5,12,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,69,3,5,4,57,0,0,0,1,0,1,68,8,60,17,0,17,43,2,30,2,9,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,241,11,10,2,218,0,0,0,5,0,5,288,7,281,2,0,2,95,8,74,6,7,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,63,1,2,1,59,0,0,0,2,0,2,345,92,253,11,0,11,45,3,28,0,14,
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,64,0,3,2,59,0,0,0,2,0,2,179,16,163,11,0,11,36,0,33,2,1,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,52,3,2,0,47,0,0,0,1,0,1,130,10,120,3,0,3,35,5,22,1,7,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,99,2,1,5,91,1,0,1,4,0,4,233,11,222,12,0,12,32,0,29,2,1,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,87,4,1,2,80,0,0,0,15,0,15,333,17,316,19,0,19,39,3,33,0,3,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,56,0,0,0,56,0,0,0,1,0,1,159,23,136,16,0,16,38,1,29,2,6,
3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,126,2,4,1,119,0,0,0,0,0,0,481,55,426,32,0,32,40,8,30,1,1,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,325,2,15,2,306,0,0,0,38,3,35,575,48,527,30,0,30,87,8,67,5,7,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,309,3,10,2,294,0,0,0,15,5,10,590,38,552,25,0,25,69,6,43,8,12,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,140,5,6,6,123,0,0,0,4,2,2,326,40,286,44,0,44,59,7,37,3,12,
3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,162,5,5,3,149,0,0,0,0,0,0,254,11,243,19,0,19,84,6,51,2,25,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,65,3,1,1,60,0,0,0,5,0,5,249,15,234,51,0,51,35,0,30,1,4,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,119,7,9,3,100,0,0,0,2,0,2,578,63,515,10,0,10,56,8,36,1,11,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,96,0,4,1,91,0,0,0,0,0,0,263,9,254,43,0,43,130,1,125,2,2,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,110,9,3,2,96,0,0,0,0,0,0,108,9,99,1,0,1,49,1,31,5,12,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,261,3,4,2,252,0,0,0,2,0,2,248,24,224,10,0,10,88,4,53,9,22,
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,144,3,0,0,141,0,0,0,4,0,4,194,14,180,25,0,25,32,5,24,1,2,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,208,4,21,5,178,0,0,0,0,0,0,528,54,474,70,0,70,114,8,74,3,29,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,178,9,11,11,147,0,0,0,0,0,0,322,48,274,49,0,49,105,5,70,4,26,
3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,174,8,17,5,144,0,0,0,3,0,3,537,52,485,30,0,30,150,4,115,8,23,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,115,4,9,1,101,0,0,0,5,1,4,242,36,206,19,0,19,29,2,17,2,8,
3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,31,2,0,0,29,0,0,0,0,0,0,325,123,202,3,0,3,18,2,14,0,2,
3173031002,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,68,2,1,6,59,0,0,0,3,0,3,162,12,150,9,0,9,33,1,27,2,3,
3174031005,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,39,1,0,1,37,0,0,0,0,0,0,254,4,250,4,0,4,10,0,7,0,3,
3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,63,0,0,1,62,0,0,0,17,0,17,49,2,47,1,0,1,9,1,6,2,0,
3171041005,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,144,0,29,0,115,1,0,1,2,0,2,274,19,255,7,0,7,39,3,29,3,4,
3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,255,2,2,1,250,0,0,0,4,0,4,203,26,177,35,0,35,163,5,94,5,59,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,135,9,2,2,122,0,0,0,27,0,27,258,8,250,20,0,20,40,3,30,6,1,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,313,9,9,0,295,0,0,0,3,0,3,144,14,130,7,0,7,38,2,30,0,6,
