id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan_rs,isolasi_di_rumah,suspek_meninggal,selesai_isolasi,probable,perawatan_rs,probable_meninggal,selesai_isolasi,pelaku_perjalanan,isolasi_di_rumah,selesai_isolasi,kontak_erat,isolasi_di_rumah,selesai_isolasi,discarded,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,67,3,2,0,62,0,0,0,0,7,0,7,124,6,118,0,14,0,12,1,1,
3171021003,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,KARTINI,154,6,1,1,146,0,0,0,0,0,0,0,248,56,192,14,51,2,38,1,10,
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,102,0,2,0,100,1,0,0,1,0,0,0,269,9,260,17,46,2,30,2,12,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,153,4,0,4,145,0,0,0,0,10,0,10,336,39,297,21,69,1,48,5,15,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,47,2,3,0,42,0,0,0,0,0,0,0,105,10,95,6,7,1,4,0,2,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,113,5,0,1,107,0,0,0,0,0,0,0,134,16,118,10,30,2,24,0,4,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,136,9,1,0,126,1,0,0,1,1,0,1,387,21,366,9,33,4,14,3,12,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,106,5,0,1,100,0,0,0,0,15,0,15,214,9,205,2,35,2,24,2,7,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,79,0,0,2,77,0,0,0,0,15,0,15,253,7,246,11,36,1,32,0,3,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,143,1,5,1,136,0,0,0,0,3,0,3,296,27,269,49,66,2,46,1,17,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,200,2,3,4,191,0,0,0,0,9,2,7,672,32,640,47,92,3,55,8,26,
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,221,0,9,1,211,0,0,0,0,0,0,0,265,9,256,3,107,2,88,8,9,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,57,4,0,1,52,0,0,0,0,1,0,1,68,4,64,0,9,0,8,1,0,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,129,1,0,5,123,0,0,0,0,7,0,7,127,6,121,24,55,1,38,5,11,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,58,3,0,3,52,0,0,0,0,1,0,1,54,4,50,17,36,3,11,2,20,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,212,3,3,2,204,0,0,0,0,5,0,5,274,5,269,2,82,2,72,6,2,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,57,2,0,1,54,0,0,0,0,2,0,2,242,13,229,11,37,3,22,0,12,
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,63,0,1,2,60,0,0,0,0,2,0,2,164,35,129,11,36,1,30,2,3,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,46,1,0,0,45,0,0,0,0,1,0,1,109,11,98,3,20,2,15,0,3,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,94,1,0,5,88,1,0,0,1,4,0,4,215,8,207,12,31,3,25,1,2,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,82,0,0,2,80,0,0,0,0,15,0,15,305,9,296,19,34,1,25,0,8,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,55,1,0,0,54,0,0,0,0,1,1,0,132,19,113,17,35,2,23,1,9,
3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,113,4,1,1,107,0,0,0,0,0,0,0,418,48,370,31,38,6,24,1,7,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,299,1,10,2,286,0,0,0,0,35,0,35,514,23,491,29,73,5,48,5,15,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,290,4,0,2,284,0,0,0,0,10,0,10,554,27,527,22,54,2,39,8,5,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,128,3,0,5,120,0,0,0,0,2,0,2,284,36,248,45,45,2,29,3,11,
3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,148,6,0,3,139,0,0,0,0,0,0,0,216,14,202,17,74,0,40,1,33,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,59,1,2,1,55,0,0,0,0,5,0,5,103,9,94,50,35,4,23,1,7,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,97,2,4,3,88,0,0,0,0,2,0,2,216,10,206,10,47,2,32,1,12,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,90,0,1,1,88,0,0,0,0,0,0,0,242,4,238,43,135,1,125,2,7,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,91,0,0,2,89,0,0,0,0,0,0,0,97,2,95,1,44,1,29,5,9,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,247,2,0,2,243,0,0,0,0,2,0,2,209,4,205,10,61,0,48,8,5,
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,128,2,4,0,122,0,0,0,0,4,0,4,149,2,147,22,22,0,15,0,7,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,184,3,0,4,177,0,0,0,0,0,0,0,481,95,386,77,91,9,41,3,38,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,161,3,3,9,146,0,0,0,0,0,0,0,276,47,229,50,77,1,55,4,17,
3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,159,0,1,4,154,0,0,0,0,3,0,3,495,67,428,31,129,3,67,7,52,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,99,3,2,1,93,0,0,0,0,4,0,4,194,34,160,18,24,1,14,2,7,
3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,28,1,0,0,27,0,0,0,0,0,0,0,106,3,103,3,13,1,9,0,3,
3173031002,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,65,2,1,6,56,0,0,0,0,3,0,3,150,14,136,9,32,2,18,2,10,
3174031005,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,36,0,0,1,35,0,0,0,0,0,0,0,245,48,197,4,9,0,6,0,3,
3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,37,1,0,1,35,0,0,0,0,17,0,17,43,2,41,1,8,0,5,2,1,
3171041005,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,123,1,10,0,112,1,0,0,1,2,0,2,250,12,238,8,35,2,23,3,7,
3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,228,8,2,1,217,0,0,0,0,3,0,3,166,6,160,28,124,4,68,5,47,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,119,2,0,2,115,0,0,0,0,27,0,27,242,8,234,19,36,2,26,6,2,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,201,1,1,0,199,0,0,0,0,3,0,3,128,9,119,7,33,1,23,0,9,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,10143,175,90,93,9785,11,0,1,10,261,7,254,11218,812,10406,645,2700,69,2201,82,348,
3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,162,2,0,3,157,0,0,0,0,3,0,3,233,22,211,23,30,1,15,0,14,
3175081001,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,63,0,0,1,62,0,0,0,0,4,0,4,214,42,172,16,10,0,10,0,0,
3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,138,5,2,2,129,0,0,0,0,2,0,2,143,6,137,7,32,0,28,0,4,
