id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,probable meninggal,selesai isolasi,pelaku perjalanan,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,139,5,6,5,123,0,0,0,0,7,0,7,146,10,136,24,57,1,40,5,11,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,62,6,0,3,53,0,0,0,0,1,0,1,60,6,54,17,39,3,21,2,13,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,216,6,3,2,205,0,0,0,0,5,0,5,279,5,274,2,87,6,73,6,2,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,57,2,0,1,54,0,0,0,0,2,0,2,258,24,234,11,38,3,23,0,12,
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,62,0,2,2,58,0,0,0,0,2,0,2,167,38,129,11,37,1,33,2,1,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,47,2,0,0,45,0,0,0,0,1,0,1,117,11,106,3,24,3,21,0,0,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,96,2,1,5,88,1,0,0,1,4,0,4,222,7,215,12,31,1,28,1,1,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,85,2,1,2,80,0,0,0,0,15,0,15,311,5,306,19,35,1,27,0,7,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,56,2,0,0,54,0,0,0,0,1,0,1,134,11,123,16,38,1,26,1,10,
3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,119,5,3,1,110,0,0,0,0,0,0,0,423,45,378,31,38,6,26,1,5,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,310,4,15,2,289,0,0,0,0,35,0,35,543,32,511,29,76,5,55,5,11,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,294,1,4,2,287,0,0,0,0,11,1,10,571,28,543,22,56,3,39,8,6,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,128,6,0,6,116,0,0,0,0,3,1,2,293,32,261,44,47,1,31,3,12,
3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,152,4,5,3,140,0,0,0,0,0,0,0,233,21,212,17,73,0,41,1,31,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,59,1,1,1,56,0,0,0,0,5,0,5,192,12,180,50,35,2,26,1,6,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,105,8,4,3,90,0,0,0,0,2,0,2,379,18,361,10,46,4,34,1,7,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,95,0,5,1,89,0,0,0,0,0,0,0,256,5,251,43,132,1,126,2,3,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,100,5,3,2,90,0,0,0,0,0,0,0,96,2,94,1,48,2,29,5,12,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,249,5,0,2,242,0,0,0,0,2,0,2,225,16,209,10,81,2,50,8,21,
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,127,1,4,0,122,0,0,0,0,4,0,4,165,9,156,22,23,0,17,1,5,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,182,7,0,4,171,0,0,0,0,0,0,0,484,98,386,69,105,8,50,3,44,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,163,6,5,9,143,0,0,0,0,0,0,0,278,42,236,49,91,3,60,4,24,
3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,151,2,5,4,140,0,0,0,0,3,0,3,486,54,432,29,136,4,68,8,56,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,103,2,3,1,97,0,0,0,0,4,0,4,216,53,163,18,26,1,17,2,6,
3174071003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,KRAMAT PELA,29,2,0,0,27,0,0,0,0,0,0,0,164,50,114,3,14,2,9,0,3,
3173031002,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KRUKUT,65,1,2,6,56,0,0,0,0,3,0,3,155,11,144,9,31,2,22,2,5,
3174031005,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,KUNINGAN BARAT,39,1,0,1,37,0,0,0,0,0,0,0,247,40,207,4,9,0,7,0,2,
3174021008,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KUNINGAN TIMUR,62,0,0,1,61,0,0,0,0,17,0,17,44,2,42,1,9,1,5,2,1,
3171041005,DKI JAKARTA,JAKARTA PUSAT,SENEN,KWITANG,125,2,11,0,112,1,0,0,1,2,0,2,255,9,246,7,35,1,24,3,7,
3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,231,9,1,1,220,0,0,0,0,3,0,3,178,12,166,28,143,5,75,5,58,
3174061002,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,LEBAK BULUS,127,4,2,2,119,0,0,0,0,27,0,27,252,7,245,19,36,0,29,6,1,
3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,208,6,1,0,201,0,0,0,0,3,0,3,131,7,124,7,33,1,25,0,7,
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,10320,270,110,93,9847,11,0,1,10,274,13,261,11812,901,10911,637,2825,91,2427,83,224,
3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,164,4,0,3,157,0,0,0,0,3,0,3,260,34,226,23,31,1,17,0,13,
3175081001,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,MAKASAR,71,7,0,1,63,0,0,0,0,4,0,4,250,68,182,16,10,0,10,0,0,
3175071006,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,140,7,2,2,129,0,0,0,0,2,0,2,147,10,137,7,34,0,28,0,6,
3175071005,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,122,3,0,1,118,0,0,0,0,0,0,0,84,8,76,6,38,0,30,2,6,
