id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,suspek,perawatan rs,isolasi di rumah,suspek meninggal,selesai isolasi,probable,perawatan rs,isolasi di rumah,probable meninggal,selesai isolasi,pelaku perjalanan,perawatan rs,isolasi di rumah,selesai isolasi,kontak erat,isolasi di rumah,selesai isolasi,discarded,meninggal,selesai isolasi,positif,dirawat,sembuh,meninggal,self isolation,keterangan
3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,229,7,17,0,205,3,2,0,0,1,0,0,0,0,503,36,467,25,0,25,115,7,78,4,26,
3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,312,8,31,4,269,1,0,0,1,0,11,0,0,11,804,43,761,30,0,30,192,16,137,5,34,
3173031006,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,KEAGUNGAN,228,4,36,0,188,0,0,0,0,0,2,0,0,2,380,67,313,9,0,9,108,2,74,1,31,
3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,379,3,108,1,267,2,0,0,0,2,2,0,1,1,536,98,438,39,0,39,95,6,71,0,18,
3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,350,5,25,0,320,4,0,0,0,4,2,0,0,2,646,19,627,12,0,12,136,5,98,4,29,
3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,246,7,16,1,222,1,0,0,0,1,15,0,0,15,381,18,363,3,0,3,91,3,61,3,24,
3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,224,5,38,2,179,0,0,0,0,0,15,0,0,15,458,24,434,17,0,17,100,6,73,0,21,
3172021005,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,KEBON BAWANG,465,8,40,1,416,0,0,0,0,0,13,0,0,13,868,109,759,57,0,57,280,8,234,2,36,
3173051001,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEBON JERUK,401,9,41,6,345,2,1,0,0,1,13,0,0,13,1256,126,1130,55,0,55,252,10,190,12,40,
3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,375,1,9,1,364,1,1,0,0,0,0,0,0,0,350,12,338,4,0,4,228,2,193,10,23,
3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,102,5,6,1,90,3,2,0,0,1,2,0,1,1,173,25,148,1,0,1,55,3,32,1,19,
3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,269,3,21,5,240,0,0,0,0,0,7,0,0,7,329,49,280,29,0,29,154,2,120,7,25,
3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,120,3,6,4,107,0,0,0,0,0,2,0,1,1,175,32,143,20,0,20,106,5,86,2,13,
3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,385,2,3,3,377,0,0,0,0,0,5,0,0,5,454,18,436,7,0,7,345,17,245,7,76,
3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,168,4,10,1,153,0,0,0,0,0,4,0,0,4,712,130,582,14,0,14,166,13,114,2,37,
3171061005,DKI JAKARTA,JAKARTA PUSAT,MENTENG,KEBON SIRIH,120,0,21,2,97,0,0,0,0,0,2,0,0,2,252,18,234,14,0,14,105,4,79,2,20,
3173011004,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KEDAUNG KALI ANGKE,290,5,78,0,207,0,0,0,0,0,1,0,0,1,305,51,254,5,0,5,164,19,108,3,34,
3173051007,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,196,2,16,5,173,2,0,0,0,2,5,0,0,5,407,44,363,18,0,18,99,11,65,4,19,
3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,187,8,23,2,154,1,0,0,0,1,15,0,0,15,570,78,492,18,0,18,125,17,85,2,21,
3173051004,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KELAPA DUA,151,6,32,0,113,0,0,0,0,0,5,0,0,5,348,60,288,18,0,18,75,6,48,2,19,
3175091003,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,358,3,40,1,314,0,0,0,0,0,7,0,0,7,792,34,758,35,0,35,116,15,84,2,15,
3172061003,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING BARAT,586,3,54,3,526,2,1,0,0,1,45,0,0,45,1032,96,936,70,0,70,261,12,220,5,24,
3172061001,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,KELAPA GADING TIMUR,501,12,29,2,458,1,0,0,0,1,20,0,2,18,995,86,909,44,0,44,142,12,102,8,20,
3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,384,5,52,6,321,0,0,0,0,0,8,0,1,7,633,75,558,48,0,48,169,11,126,5,27,
3171031001,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,280,4,17,3,256,0,0,0,0,0,0,0,0,0,432,46,386,20,0,20,198,10,154,10,24,
3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,146,2,15,1,128,0,0,0,0,0,5,0,0,5,390,30,360,52,0,52,107,5,85,2,15,
3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,344,4,60,3,277,3,2,0,1,0,3,0,1,2,1099,77,1022,10,0,10,156,10,105,4,37,
3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,152,1,9,1,141,1,0,0,0,1,1,0,1,0,370,29,341,44,0,44,144,3,137,2,2,
3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,190,2,9,2,177,1,0,0,0,1,0,0,0,0,154,11,143,3,0,3,91,2,76,6,7,
3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,469,6,31,2,430,2,0,0,0,2,3,0,0,3,632,64,568,21,0,21,230,16,165,9,40,
3172031001,DKI JAKARTA,JAKARTA UTARA,KOJA,KOJA,223,1,9,0,213,0,0,0,0,0,4,0,0,4,366,25,341,32,0,32,174,1,146,5,22,
3173071006,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU SELATAN,340,5,32,5,298,0,0,0,0,0,1,0,0,1,703,47,656,71,0,71,188,6,164,5,13,
3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,295,2,28,11,254,0,0,0,0,0,3,0,0,3,452,39,413,53,0,53,169,7,149,6,7,
3171041004,DKI JAKARTA,JAKARTA PUSAT,SENEN,KRAMAT,306,1,13,6,286,0,0,0,0,0,5,0,1,4,745,38,707,31,0,31,209,3,189,10,7,
3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,244,6,30,1,207,0,0,0,0,0,9,0,0,9,526,79,447,21,0,21,150,22,96,6,26,
